type,name,value,date
CLANNAD ~After Story~,16,4248,2019-08-19
CLANNAD ~After Story~,16,4232,2019-08-18
CLANNAD ~After Story~,16,4199,2019-08-17
CLANNAD ~After Story~,16,4180,2019-08-16
CLANNAD ~After Story~,16,4158,2019-08-15
CLANNAD ~After Story~,16,4123,2019-08-14
CLANNAD ~After Story~,16,4089,2019-08-13
CLANNAD ~After Story~,16,4057,2019-08-12
CLANNAD ~After Story~,16,4033,2019-08-11
CLANNAD ~After Story~,16,3976,2019-08-10
CLANNAD ~After Story~,16,3941,2019-08-09
CLANNAD ~After Story~,16,3905,2019-08-08
CLANNAD ~After Story~,16,3861,2019-08-07
CLANNAD ~After Story~,16,3829,2019-08-06
CLANNAD ~After Story~,16,3804,2019-08-05
CLANNAD ~After Story~,16,3780,2019-08-04
CLANNAD ~After Story~,16,3756,2019-08-03
CLANNAD ~After Story~,16,3725,2019-08-02
CLANNAD ~After Story~,16,3695,2019-08-01
CLANNAD ~After Story~,16,3663,2019-07-31
CLANNAD ~After Story~,16,3612,2019-07-30
CLANNAD ~After Story~,16,3568,2019-07-29
CLANNAD ~After Story~,16,3537,2019-07-28
CLANNAD ~After Story~,16,3491,2019-07-27
CLANNAD ~After Story~,16,3459,2019-07-26
CLANNAD ~After Story~,16,3412,2019-07-25
CLANNAD ~After Story~,16,3385,2019-07-24
CLANNAD ~After Story~,16,3360,2019-07-23
CLANNAD ~After Story~,16,3333,2019-07-22
CLANNAD ~After Story~,16,3322,2019-07-21
CLANNAD ~After Story~,16,3311,2019-07-20
CLANNAD ~After Story~,16,3303,2019-07-19
CLANNAD ~After Story~,16,3281,2019-07-18
CLANNAD ~After Story~,16,3253,2019-07-17
CLANNAD ~After Story~,16,3238,2019-07-16
CLANNAD ~After Story~,16,3224,2019-07-15
CLANNAD ~After Story~,16,3195,2019-07-14
CLANNAD ~After Story~,16,3172,2019-07-13
CLANNAD ~After Story~,16,3149,2019-07-12
CLANNAD ~After Story~,16,3129,2019-07-11
CLANNAD ~After Story~,16,3114,2019-07-10
CLANNAD ~After Story~,16,3103,2019-07-09
CLANNAD ~After Story~,16,3096,2019-07-08
CLANNAD ~After Story~,16,3077,2019-07-07
CLANNAD ~After Story~,16,3050,2019-07-06
CLANNAD ~After Story~,16,3041,2019-07-05
CLANNAD ~After Story~,16,3036,2019-07-04
CLANNAD ~After Story~,16,3023,2019-07-03
CLANNAD ~After Story~,16,3013,2019-07-02
CLANNAD ~After Story~,16,3000,2019-07-01
CLANNAD ~After Story~,16,2975,2019-06-30
CLANNAD ~After Story~,16,2967,2019-06-29
CLANNAD ~After Story~,16,2955,2019-06-28
CLANNAD ~After Story~,16,2950,2019-06-27
CLANNAD ~After Story~,16,2944,2019-06-26
CLANNAD ~After Story~,16,2936,2019-06-25
CLANNAD ~After Story~,16,2924,2019-06-24
CLANNAD ~After Story~,16,2913,2019-06-23
CLANNAD ~After Story~,16,2893,2019-06-22
CLANNAD ~After Story~,16,2885,2019-06-21
CLANNAD ~After Story~,16,2869,2019-06-20
CLANNAD ~After Story~,16,2853,2019-06-19
CLANNAD ~After Story~,16,2830,2019-06-18
CLANNAD ~After Story~,16,2821,2019-06-17
CLANNAD ~After Story~,16,2812,2019-06-16
CLANNAD ~After Story~,16,2805,2019-06-15
CLANNAD ~After Story~,16,2793,2019-06-14
CLANNAD ~After Story~,16,2792,2019-06-13
CLANNAD ~After Story~,16,2783,2019-06-12
CLANNAD ~After Story~,16,2778,2019-06-11
CLANNAD ~After Story~,16,2776,2019-06-10
CLANNAD ~After Story~,16,2768,2019-06-09
CLANNAD ~After Story~,16,2744,2019-06-08
CLANNAD ~After Story~,16,2723,2019-06-07
CLANNAD ~After Story~,16,2720,2019-06-06
CLANNAD ~After Story~,16,2714,2019-05-29
CLANNAD ~After Story~,16,2710,2019-05-28
CLANNAD ~After Story~,16,2709,2019-05-27
CLANNAD ~After Story~,16,2700,2019-05-26
CLANNAD ~After Story~,16,2677,2019-05-25
CLANNAD ~After Story~,16,2667,2019-05-24
CLANNAD ~After Story~,16,2657,2019-05-23
CLANNAD ~After Story~,16,2642,2019-05-22
CLANNAD ~After Story~,16,2630,2019-05-21
CLANNAD ~After Story~,16,2618,2019-05-20
CLANNAD ~After Story~,16,2615,2019-05-19
CLANNAD ~After Story~,16,2602,2019-05-18
CLANNAD ~After Story~,16,2593,2019-05-17
CLANNAD ~After Story~,16,2579,2019-05-16
CLANNAD ~After Story~,16,2550,2019-05-15
CLANNAD ~After Story~,16,2549,2019-05-14
CLANNAD ~After Story~,16,2547,2019-05-13
CLANNAD ~After Story~,16,2543,2019-05-12
CLANNAD ~After Story~,16,2531,2019-05-11
CLANNAD ~After Story~,16,2528,2019-05-10
CLANNAD ~After Story~,16,2524,2019-05-09
CLANNAD ~After Story~,16,2519,2019-05-08
CLANNAD ~After Story~,16,2513,2019-05-07
CLANNAD ~After Story~,16,2509,2019-05-06
CLANNAD ~After Story~,16,2505,2019-05-05
CLANNAD ~After Story~,16,2499,2019-05-04
CLANNAD ~After Story~,16,2481,2019-05-03
CLANNAD ~After Story~,16,2466,2019-05-02
CLANNAD ~After Story~,16,2428,2019-05-01
CLANNAD ~After Story~,16,2421,2019-04-30
CLANNAD ~After Story~,16,2416,2019-04-29
CLANNAD ~After Story~,16,2409,2019-04-28
CLANNAD ~After Story~,16,2405,2019-04-27
CLANNAD ~After Story~,16,2397,2019-04-26
CLANNAD ~After Story~,16,2392,2019-04-25
CLANNAD ~After Story~,16,2383,2019-04-24
CLANNAD ~After Story~,16,2380,2019-04-23
CLANNAD ~After Story~,16,2378,2019-04-22
CLANNAD ~After Story~,16,2366,2019-04-21
CLANNAD ~After Story~,16,2356,2019-04-20
